
GetOrganelle v1.6.2

get_organelle_from_reads.py assembles organelle genomes from genome skimming data.
Find updates in https://github.com/Kinggerm/GetOrganelle and see README.md for more information.

Python 3.6.5 (default, Sep 20 2018, 17:13:01)  [GCC 4.8.5 20150623 (Red Hat 4.8.5-28)]
Python libs: numpy 1.15.1; sympy 1.3; scipy 1.1.0; psutil 5.4.7
Dependencies: Bowtie2 2.3.5.1; SPAdes 3.13.0; Blast 2.2.30
/data/jinjianjun/.pyenv/versions/3.6.5/bin/get_organelle_from_reads.py -1 SRR4428742_250M_1.fastq -2 SRR4428742_250M_2.fastq -t 1 -J 1 -M 1 -R 1000 -s ../local_seed/NC_011942.1.Gnetum_parvifolium.rbcL.fasta -w 0.75 -o w0.75P0spades-unlimited-rbcL--SRR4428742-plastome -k 35,75 -F embplant_pt -P 0
2019-09-22 17:54:12,431 - INFO: Round 50: 4355099/4355099 AI 70620 AW 392608 Mem 0.148
2019-09-22 17:55:09,856 - INFO: Round 51: 4355099/4355099 AI 72503 AW 404806 Mem 0.15
2019-09-22 17:56:07,532 - INFO: Round 52: 4355099/4355099 AI 74718 AW 418816 Mem 0.152
2019-09-22 17:57:05,308 - INFO: Round 53: 4355099/4355099 AI 77477 AW 434874 Mem 0.154
2019-09-22 17:57:52,734 - INFO: Round 54: 4355099/4355099 AI 80638 AW 450732 Mem 0.156
2019-09-22 17:58:36,064 - INFO: Round 55: 4355099/4355099 AI 83124 AW 462294 Mem 0.157
2019-09-22 17:59:19,692 - INFO: Round 56: 4355099/4355099 AI 85249 AW 475190 Mem 0.159
2019-09-22 18:00:02,814 - INFO: Round 57: 4355099/4355099 AI 87908 AW 487308 Mem 0.161
2019-09-22 18:00:46,654 - INFO: Round 58: 4355099/4355099 AI 90587 AW 499082 Mem 0.162
2019-09-22 18:01:29,423 - INFO: Round 59: 4355099/4355099 AI 93051 AW 509912 Mem 0.164
2019-09-22 18:02:11,221 - INFO: Round 60: 4355099/4355099 AI 95521 AW 521146 Mem 0.165
2019-09-22 18:02:53,747 - INFO: Round 61: 4355099/4355099 AI 98173 AW 533074 Mem 0.167
2019-09-22 18:03:35,812 - INFO: Round 62: 4355099/4355099 AI 100725 AW 543566 Mem 0.168
2019-09-22 18:04:18,384 - INFO: Round 63: 4355099/4355099 AI 103185 AW 555468 Mem 0.169
2019-09-22 18:05:00,455 - INFO: Round 64: 4355099/4355099 AI 106283 AW 567740 Mem 0.171
2019-09-22 18:05:42,242 - INFO: Round 65: 4355099/4355099 AI 109411 AW 581766 Mem 0.173
2019-09-22 18:06:23,879 - INFO: Round 66: 4355099/4355099 AI 112371 AW 592530 Mem 0.174
2019-09-22 18:07:04,560 - INFO: Round 67: 4355099/4355099 AI 115133 AW 603644 Mem 0.176
2019-09-22 18:07:43,178 - INFO: Round 68: 4355099/4355099 AI 117410 AW 613450 Mem 0.177
2019-09-22 18:08:22,991 - INFO: Round 69: 4355099/4355099 AI 119252 AW 621960 Mem 0.178
2019-09-22 18:09:02,873 - INFO: Round 70: 4355099/4355099 AI 120985 AW 629402 Mem 0.179
2019-09-22 18:09:42,635 - INFO: Round 71: 4355099/4355099 AI 122506 AW 635440 Mem 0.18
2019-09-22 18:10:20,931 - INFO: Round 72: 4355099/4355099 AI 123611 AW 640090 Mem 0.18
2019-09-22 18:10:58,917 - INFO: Round 73: 4355099/4355099 AI 124951 AW 647578 Mem 0.181
2019-09-22 18:11:37,258 - INFO: Round 74: 4355099/4355099 AI 126308 AW 654406 Mem 0.182
2019-09-22 18:12:15,712 - INFO: Round 75: 4355099/4355099 AI 127659 AW 659746 Mem 0.183
2019-09-22 18:12:55,769 - INFO: Round 76: 4355099/4355099 AI 129057 AW 666622 Mem 0.184
2019-09-22 18:13:35,407 - INFO: Round 77: 4355099/4355099 AI 130539 AW 672764 Mem 0.185
2019-09-22 18:14:14,447 - INFO: Round 78: 4355099/4355099 AI 131740 AW 677852 Mem 0.185
2019-09-22 18:14:53,039 - INFO: Round 79: 4355099/4355099 AI 132682 AW 681490 Mem 0.186
2019-09-22 18:15:31,806 - INFO: Round 80: 4355099/4355099 AI 133493 AW 684936 Mem 0.186
2019-09-22 18:16:11,056 - INFO: Round 81: 4355099/4355099 AI 134237 AW 688390 Mem 0.187
2019-09-22 18:16:50,222 - INFO: Round 82: 4355099/4355099 AI 135278 AW 693634 Mem 0.187
2019-09-22 18:17:30,597 - INFO: Round 83: 4355099/4355099 AI 136458 AW 698744 Mem 0.188
2019-09-22 18:18:14,741 - INFO: Round 84: 4355099/4355099 AI 137742 AW 704206 Mem 0.22
2019-09-22 18:18:58,937 - INFO: Round 85: 4355099/4355099 AI 138994 AW 709034 Mem 0.221
2019-09-22 18:19:43,295 - INFO: Round 86: 4355099/4355099 AI 140180 AW 714060 Mem 0.221
2019-09-22 18:20:55,112 - INFO: Round 87: 4355099/4355099 AI 141359 AW 719384 Mem 0.222
2019-09-22 18:22:07,209 - INFO: Round 88: 4355099/4355099 AI 142662 AW 724222 Mem 0.223
2019-09-22 18:23:19,385 - INFO: Round 89: 4355099/4355099 AI 143773 AW 728850 Mem 0.223
2019-09-22 18:24:31,551 - INFO: Round 90: 4355099/4355099 AI 144912 AW 734544 Mem 0.224
2019-09-22 18:25:43,383 - INFO: Round 91: 4355099/4355099 AI 146130 AW 741042 Mem 0.225
2019-09-22 18:26:55,770 - INFO: Round 92: 4355099/4355099 AI 147293 AW 745712 Mem 0.225
2019-09-22 18:28:08,253 - INFO: Round 93: 4355099/4355099 AI 148573 AW 751066 Mem 0.226
2019-09-22 18:29:20,276 - INFO: Round 94: 4355099/4355099 AI 149601 AW 756264 Mem 0.227
2019-09-22 18:30:32,338 - INFO: Round 95: 4355099/4355099 AI 150632 AW 760630 Mem 0.227
2019-09-22 18:31:44,597 - INFO: Round 96: 4355099/4355099 AI 151656 AW 765802 Mem 0.228
2019-09-22 18:32:39,075 - INFO: Round 97: 4355099/4355099 AI 152629 AW 770194 Mem 0.229
